"Common.Name","Code","Group","spp.num","name","in_bbs_aou","in_bbs_name","in_bbs","bbs_english"
"Golden-cheeked Warbler","GCWA","subtropical_forests",6660,"Golden-cheeked Warbler",TRUE,TRUE,TRUE,"Golden-cheeked Warbler"
"Golden-crowned Kinglet","GCKI","boreal_forests",7480,"Golden-crowned Kinglet",TRUE,TRUE,TRUE,"Golden-crowned Kinglet"
"Golden-crowned Sparrow","GCSP","boreal_forests",5570,"Golden-crowned Sparrow",TRUE,TRUE,TRUE,"Golden-crowned Sparrow"
"Golden-fronted Woodpecker","GFWO","subtropical_forests",4100,"Golden-fronted Woodpecker",TRUE,TRUE,TRUE,"Golden-fronted Woodpecker"
"Golden-winged Warbler","GWWA","eastern_forests",6420,"Golden-winged Warbler",TRUE,TRUE,TRUE,"Golden-winged Warbler"
"Grace's Warbler","GRWA","western_forests",6640,"Grace's Warbler",TRUE,TRUE,TRUE,"Grace's Warbler"
"Grasshopper Sparrow","GRSP","grasslands",5460,"Grasshopper Sparrow",TRUE,TRUE,TRUE,"Grasshopper Sparrow"
"Gray Catbird","GRCA","eastern_forests",7040,"Gray Catbird",TRUE,TRUE,TRUE,"Gray Catbird"
"Gray Flycatcher","GRFL","aridlands",4691,"Gray Flycatcher",TRUE,TRUE,TRUE,"Gray Flycatcher"
"Gray Hawk","GRHA","western_forests",3460,"Gray Hawk",TRUE,TRUE,TRUE,"Gray Hawk"
"Gray Kingbird","GRAK","subtropical_forests",4450,"Gray Kingbird",TRUE,TRUE,TRUE,"Gray Kingbird"
"Gray Partridge","GRAP","grasslands",NA,NA,FALSE,TRUE,TRUE,"Gray Partridge"
"Gray Vireo","GRVI","aridlands",6340,"Gray Vireo",TRUE,TRUE,TRUE,"Gray Vireo"
"Gray-cheeked Thrush","GCTH","boreal_forests",7570,"Gray-cheeked Thrush",TRUE,TRUE,TRUE,"Gray-cheeked Thrush"
"Gray-crowned Rosy-Finch","GCRF","arctic",5240,"Gray-crowned Rosy-Finch",TRUE,TRUE,TRUE,"Gray-crowned Rosy-Finch"
"Great Black-backed Gull","GBBG","coastal",470,"Great Black-backed Gull",TRUE,TRUE,TRUE,"Great Black-backed Gull"
"Great Blue Heron","GBHE","waterbirds",1940,"Great Blue Heron",TRUE,TRUE,TRUE,"Great Blue Heron"
"Great Cormorant","GRCO","coastal",1190,"Great Cormorant",TRUE,TRUE,TRUE,"Great Cormorant"
"Great Crested Flycatcher","GCFL","eastern_forests",4520,"Great Crested Flycatcher",TRUE,TRUE,TRUE,"Great Crested Flycatcher"
"Great Egret","GREG","waterbirds",1960,"Great Egret",TRUE,TRUE,TRUE,"Great Egret"
"Great Gray Owl","GGOW","boreal_forests",3700,"Great Gray Owl",TRUE,TRUE,TRUE,"Great Gray Owl"
"Great Horned Owl","GHOW","generalists",3750,"Great Horned Owl",TRUE,TRUE,TRUE,"Great Horned Owl"
"Great Kiskadee","GKIS","subtropical_forests",4490,"Great Kiskadee",TRUE,TRUE,TRUE,"Great Kiskadee"
"Greater Prairie-Chicken","GRPC","grasslands",NA,NA,FALSE,TRUE,TRUE,"Greater Prairie-Chicken"
"Greater Roadrunner","GRRO","aridlands",3850,"Greater Roadrunner",TRUE,TRUE,TRUE,"Greater Roadrunner"
"Greater Sage-Grouse","GRSG","aridlands",NA,NA,FALSE,TRUE,TRUE,"Greater Sage-Grouse"
"Greater Scaup","GRSC","waterbirds",1480,"Greater Scaup",TRUE,TRUE,TRUE,"Greater Scaup"
"Greater White-fronted Goose","GWFG","waterbirds",1710,"Greater White-fronted Goose",TRUE,TRUE,TRUE,"Greater White-fronted Goose"
"Greater Yellowlegs","GRYE","waterbirds",2540,"Greater Yellowlegs",TRUE,TRUE,TRUE,"Greater Yellowlegs"
"Great-tailed Grackle","GTGR","generalists",5120,"Great-tailed Grackle",TRUE,TRUE,TRUE,"Great-tailed Grackle"
"Green Heron","GRHE","marshlands",2010,"Green Heron",TRUE,TRUE,TRUE,"Green Heron"
"Green Jay","GRJA","subtropical_forests",NA,NA,FALSE,TRUE,TRUE,"Green Jay"
"Green Kingfisher","GKIN","waterbirds",3910,"Green Kingfisher",TRUE,TRUE,TRUE,"Green Kingfisher"
"Green-tailed Towhee","GTTO","aridlands",5900,"Green-tailed Towhee",TRUE,TRUE,TRUE,"Green-tailed Towhee"
"Green-winged Teal","GWTE","marshlands",NA,NA,FALSE,TRUE,TRUE,"Green-winged Teal"
"Groove-billed Ani","GBAN","subtropical_forests",3840,"Groove-billed Ani",TRUE,TRUE,TRUE,"Groove-billed Ani"
"Gull-billed Tern","GBTE","coastal",630,"Gull-billed Tern",TRUE,TRUE,TRUE,"Gull-billed Tern"
"Gyrfalcon","GYRF","arctic",3540,"Gyrfalcon",TRUE,TRUE,TRUE,"Gyrfalcon"
"Hairy Woodpecker","HAWO","generalists",3930,"Hairy Woodpecker",TRUE,TRUE,TRUE,"Hairy Woodpecker"
"Hammond's Flycatcher","HAFL","western_forests",4680,"Hammond's Flycatcher",TRUE,TRUE,TRUE,"Hammond's Flycatcher"
"Harlequin Duck","HADU","waterbirds",NA,NA,FALSE,TRUE,TRUE,"Harlequin Duck"
"Harris's Hawk","HASH","aridlands",NA,NA,FALSE,TRUE,TRUE,"Harris's Hawk"
"Harris's Sparrow","HASP","boreal_forests",5530,"Harris's Sparrow",TRUE,TRUE,TRUE,"Harris's Sparrow"
"Heermann's Gull","HEEG","coastal",570,"Heermann's Gull",TRUE,TRUE,TRUE,"Heermann's Gull"
"Henslow's Sparrow","HESP","grasslands",5470,"Henslow's Sparrow",TRUE,TRUE,TRUE,"Henslow's Sparrow"
"Hepatic Tanager","HETA","western_forests",6090,"Hepatic Tanager",TRUE,TRUE,TRUE,"Hepatic Tanager"
"Hermit Thrush","HETH","western_forests",7590,"Hermit Thrush",TRUE,TRUE,TRUE,"Hermit Thrush"
"Hermit Warbler","HEWA","western_forests",6690,"Hermit Warbler",TRUE,TRUE,TRUE,"Hermit Warbler"
"Herring Gull","HERG","waterbirds",510,"Herring Gull",TRUE,TRUE,TRUE,"Herring Gull"
"Hoary Redpoll","HORE","arctic",5270,"Hoary Redpoll",TRUE,FALSE,TRUE,"(Hoary Redpoll) Redpoll"
"Hooded Merganser","HOME","waterbirds",1310,"Hooded Merganser",TRUE,TRUE,TRUE,"Hooded Merganser"
"Hooded Oriole","HOOR","western_forests",5050,"Hooded Oriole",TRUE,TRUE,TRUE,"Hooded Oriole"
"Hooded Warbler","HOWA","eastern_forests",6840,"Hooded Warbler",TRUE,TRUE,TRUE,"Hooded Warbler"
"Hook-billed Kite","HBKI","subtropical_forests",3271,"Hook-billed Kite",TRUE,TRUE,TRUE,"Hook-billed Kite"
"Horned Grebe","HOGR","marshlands",30,"Horned Grebe",TRUE,TRUE,TRUE,"Horned Grebe"
"Horned Lark","HOLA","grasslands",4740,"Horned Lark",TRUE,TRUE,TRUE,"Horned Lark"
"House Finch","HOFI","generalists",5190,"House Finch",TRUE,TRUE,TRUE,"House Finch"
"House Sparrow","HOSP","urban_suburban",6882,"House Sparrow",TRUE,TRUE,TRUE,"House Sparrow"
"House Wren","HOWR","generalists",7210,"House Wren",TRUE,FALSE,TRUE,"Northern House Wren"
"Hudsonian Godwit","HUGO","waterbirds",2510,"Hudsonian Godwit",TRUE,TRUE,TRUE,"Hudsonian Godwit"
"Hutton's Vireo","HUVI","western_forests",6320,"Hutton's Vireo",TRUE,TRUE,TRUE,"Hutton's Vireo"
"Iceland Gull","ICGU","coastal",430,"Iceland Gull",TRUE,TRUE,TRUE,"Iceland Gull"
"Inca Dove","INDO","aridlands",3210,"Inca Dove",TRUE,TRUE,TRUE,"Inca Dove"
"Indigo Bunting","INBU","eastern_forests",5980,"Indigo Bunting",TRUE,TRUE,TRUE,"Indigo Bunting"
"Juniper Titmouse","JUTI","western_forests",7331,"Juniper Titmouse",TRUE,TRUE,TRUE,"Juniper Titmouse"
"Kentucky Warbler","KEWA","eastern_forests",6770,"Kentucky Warbler",TRUE,TRUE,TRUE,"Kentucky Warbler"
"Killdeer","KILL","waterbirds",2730,"Killdeer",TRUE,TRUE,TRUE,"Killdeer"
"King Eider","KIEI","waterbirds",1620,"King Eider",TRUE,TRUE,TRUE,"King Eider"
"King Rail","KIRA","marshlands",2080,"King Rail",TRUE,TRUE,TRUE,"King Rail"
"Kittlitz's Murrelet","KIMU","coastal",240,"Kittlitz's Murrelet",TRUE,TRUE,TRUE,"Kittlitz's Murrelet"
"Ladder-backed Woodpecker","LBWO","aridlands",3960,"Ladder-backed Woodpecker",TRUE,TRUE,TRUE,"Ladder-backed Woodpecker"
"Lapland Longspur","LALO","arctic",5360,"Lapland Longspur",TRUE,TRUE,TRUE,"Lapland Longspur"
"Lark Bunting","LARB","grasslands",6050,"Lark Bunting",TRUE,TRUE,TRUE,"Lark Bunting"
"Lark Sparrow","LASP","aridlands",5520,"Lark Sparrow",TRUE,TRUE,TRUE,"Lark Sparrow"
"Laughing Gull","LAGU","coastal",580,"Laughing Gull",TRUE,TRUE,TRUE,"Laughing Gull"
"Lawrence's Goldfinch","LAGO","aridlands",5310,"Lawrence's Goldfinch",TRUE,TRUE,TRUE,"Lawrence's Goldfinch"
"Lazuli Bunting","LAZB","western_forests",5990,"Lazuli Bunting",TRUE,TRUE,TRUE,"Lazuli Bunting"
"Le Conte's Sparrow","LCSP","grasslands",5480,"Le Conte's Sparrow",TRUE,FALSE,TRUE,"LeConte's Sparrow"
"Le Conte's Thrasher","LCTH","aridlands",7110,"Le Conte's Thrasher",TRUE,FALSE,TRUE,"LeConte's Thrasher"
"Least Bittern","LEBI","marshlands",1910,"Least Bittern",TRUE,TRUE,TRUE,"Least Bittern"
"Least Flycatcher","LEFL","boreal_forests",4670,"Least Flycatcher",TRUE,TRUE,TRUE,"Least Flycatcher"
"Least Grebe","LEGR","marshlands",50,"Least Grebe",TRUE,TRUE,TRUE,"Least Grebe"
"Least Sandpiper","LESA","waterbirds",2420,"Least Sandpiper",TRUE,TRUE,TRUE,"Least Sandpiper"
"Least Tern","LETE","waterbirds",740,"Least Tern",TRUE,TRUE,TRUE,"Least Tern"
"Lesser Black-backed Gull","LBBG","coastal",500,"Lesser Black-backed Gull",TRUE,TRUE,TRUE,"Lesser Black-backed Gull"
"Lesser Goldfinch","LEGO","western_forests",5300,"Lesser Goldfinch",TRUE,TRUE,TRUE,"Lesser Goldfinch"
"Lesser Nighthawk","LENI","aridlands",4210,"Lesser Nighthawk",TRUE,TRUE,TRUE,"Lesser Nighthawk"
"Lesser Prairie-Chicken","LEPC","grasslands",NA,NA,FALSE,TRUE,TRUE,"Lesser Prairie-Chicken"
"Lesser Scaup","LESC","waterbirds",1490,"Lesser Scaup",TRUE,TRUE,TRUE,"Lesser Scaup"
"Lesser Yellowlegs","LEYE","waterbirds",2550,"Lesser Yellowlegs",TRUE,TRUE,TRUE,"Lesser Yellowlegs"
"Lewis's Woodpecker","LEWO","western_forests",4080,"Lewis's Woodpecker",TRUE,TRUE,TRUE,"Lewis's Woodpecker"
"Limpkin","LIMP","marshlands",2070,"Limpkin",TRUE,TRUE,TRUE,"Limpkin"
"Lincoln's Sparrow","LISP","boreal_forests",5830,"Lincoln's Sparrow",TRUE,TRUE,TRUE,"Lincoln's Sparrow"
"Little Blue Heron","LBHE","marshlands",2000,"Little Blue Heron",TRUE,TRUE,TRUE,"Little Blue Heron"
"Little Gull","LIGU","coastal",601,"Little Gull",TRUE,TRUE,TRUE,"Little Gull"
"Little Gull","LIGU","waterbirds",601,"Little Gull",TRUE,TRUE,TRUE,"Little Gull"
"Loggerhead Shrike","LOSH","grasslands",6220,"Loggerhead Shrike",TRUE,TRUE,TRUE,"Loggerhead Shrike"
"Long-billed Curlew","LBCU","grasslands",2640,"Long-billed Curlew",TRUE,TRUE,TRUE,"Long-billed Curlew"
"Long-billed Dowitcher","LBDO","waterbirds",2320,"Long-billed Dowitcher",TRUE,TRUE,TRUE,"Long-billed Dowitcher"
"Long-billed Thrasher","LBTH","subtropical_forests",7060,"Long-billed Thrasher",TRUE,TRUE,TRUE,"Long-billed Thrasher"
"Long-eared Owl","LEOW","western_forests",3660,"Long-eared Owl",TRUE,TRUE,TRUE,"Long-eared Owl"
"Long-tailed Duck","LTDU","waterbirds",1540,"Long-tailed Duck",TRUE,TRUE,TRUE,"Long-tailed Duck"
"Long-tailed Jaeger","LTJA","waterbirds",380,"Long-tailed Jaeger",TRUE,TRUE,TRUE,"Long-tailed Jaeger"
"Louisiana Waterthrush","LOWA","eastern_forests",6760,"Louisiana Waterthrush",TRUE,TRUE,TRUE,"Louisiana Waterthrush"
"Lucy's Warbler","LUWA","aridlands",6430,"Lucy's Warbler",TRUE,TRUE,TRUE,"Lucy's Warbler"
"MacGillivray's Warbler","MGWA","western_forests",6800,"MacGillivray's Warbler",TRUE,TRUE,TRUE,"MacGillivray's Warbler"
"Magnificent Frigatebird","MAFR","coastal",1280,"Magnificent Frigatebird",TRUE,TRUE,TRUE,"Magnificent Frigatebird"
"Magnolia Warbler","MAWA","boreal_forests",6570,"Magnolia Warbler",TRUE,TRUE,TRUE,"Magnolia Warbler"
"Mallard","MALL","waterbirds",1320,"Mallard",TRUE,TRUE,TRUE,"Mallard"
"Mangrove Cuckoo","MACU","coastal",3860,"Mangrove Cuckoo",TRUE,TRUE,TRUE,"Mangrove Cuckoo"
"Marbled Godwit","MAGO","marshlands",2490,"Marbled Godwit",TRUE,TRUE,TRUE,"Marbled Godwit"
"Marbled Murrelet","MAMU","coastal",230,"Marbled Murrelet",TRUE,TRUE,TRUE,"Marbled Murrelet"
"Marsh Wren","MAWR","marshlands",7250,"Marsh Wren",TRUE,TRUE,TRUE,"Marsh Wren"
"McCown's Longspur","MCLO","grasslands",5390,"McCown's Longspur",TRUE,FALSE,TRUE,"Thick-billed Longspur"
"Merlin","MERL","eastern_forests",3570,"Merlin",TRUE,TRUE,TRUE,"Merlin"
"Mew Gull","MEGU","coastal",550,"Mew Gull",TRUE,FALSE,TRUE,"Short-billed Gull"
"Mew Gull","MEGU","waterbirds",550,"Mew Gull",TRUE,FALSE,TRUE,"Short-billed Gull"
"Mexican Jay","MEJA","subtropical_forests",4820,"Mexican Jay",TRUE,TRUE,TRUE,"Mexican Jay"
"Mississippi Kite","MIKI","eastern_forests",3290,"Mississippi Kite",TRUE,TRUE,TRUE,"Mississippi Kite"
"Monk Parakeet","MOPA","urban_suburban",3824,"Monk Parakeet",TRUE,TRUE,TRUE,"Monk Parakeet"
"Montezuma Quail","MONQ","subtropical_forests",NA,NA,FALSE,TRUE,TRUE,"Montezuma Quail"
"Mottled Duck","MODU","marshlands",1340,"Mottled Duck",TRUE,TRUE,TRUE,"Mottled Duck"
"Mountain Bluebird","MOBL","western_forests",7680,"Mountain Bluebird",TRUE,TRUE,TRUE,"Mountain Bluebird"
"Mountain Chickadee","MOCH","western_forests",7380,"Mountain Chickadee",TRUE,TRUE,TRUE,"Mountain Chickadee"
"Mountain Plover","MOPL","grasslands",2810,"Mountain Plover",TRUE,TRUE,TRUE,"Mountain Plover"
"Mountain Quail","MOUQ","western_forests",NA,NA,FALSE,TRUE,TRUE,"Mountain Quail"
"Mourning Dove","MODO","generalists",3160,"Mourning Dove",TRUE,TRUE,TRUE,"Mourning Dove"
"Mourning Warbler","MOWA","boreal_forests",6790,"Mourning Warbler",TRUE,TRUE,TRUE,"Mourning Warbler"
"Muscovy Duck","MUDU","waterbirds",1441,"Muscovy Duck",FALSE,TRUE,TRUE,"Muscovy Duck"
"Mute Swan","MUSW","waterbirds",1782,"Mute Swan",TRUE,TRUE,TRUE,"Mute Swan"
"Nashville Warbler","NAWA","eastern_forests",6450,"Nashville Warbler",TRUE,TRUE,TRUE,"Nashville Warbler"
"Nelson's Sparrow","NESP","grasslands",5491,"Nelson's Sparrow",TRUE,TRUE,TRUE,"Nelson's Sparrow"
"Neotropic Cormorant","NECO","coastal",1210,"Neotropic Cormorant",TRUE,TRUE,TRUE,"Neotropic Cormorant"
"Northern Beardless-Tyrannulet","NOBT","aridlands",NA,NA,FALSE,TRUE,TRUE,"Northern Beardless-Tyrannulet"
"Northern Bobwhite","NOBO","grasslands",NA,NA,FALSE,TRUE,TRUE,"Northern Bobwhite"
"Northern Cardinal","NOCA","eastern_forests",5930,"Northern Cardinal",TRUE,TRUE,TRUE,"Northern Cardinal"
"Northern Flicker","NOFL","generalists",4123,NA,TRUE,FALSE,TRUE,"Northern Flicker (all forms)"
"Northern Fulmar","NOFU","coastal",860,"Northern Fulmar",TRUE,TRUE,TRUE,"Northern Fulmar"
"Northern Gannet","NOGA","coastal",1170,"Northern Gannet",TRUE,TRUE,TRUE,"Northern Gannet"
"Northern Goshawk","NOGO","boreal_forests",3340,"Northern Goshawk",TRUE,FALSE,TRUE,"American Goshawk"
"Northern Harrier","NOHA","marshlands",3310,"Northern Harrier",TRUE,TRUE,TRUE,"Northern Harrier"
"Northern Hawk Owl","NHOW","boreal_forests",3770,"Northern Hawk Owl",TRUE,TRUE,TRUE,"Northern Hawk Owl"
"Northern Mockingbird","NOMO","generalists",7030,"Northern Mockingbird",TRUE,TRUE,TRUE,"Northern Mockingbird"
"Northern Parula","NOPA","eastern_forests",6480,"Northern Parula",TRUE,TRUE,TRUE,"Northern Parula"
"Northern Pintail","NOPI","marshlands",1430,"Northern Pintail",TRUE,TRUE,TRUE,"Northern Pintail"
"Northern Pygmy-Owl","NOPO","western_forests",3790,"Northern Pygmy-Owl",TRUE,TRUE,TRUE,"Northern Pygmy-Owl"
"Northern Rough-winged Swallow","NRWS","generalists",6170,"Northern Rough-winged Swallow",TRUE,TRUE,TRUE,"Northern Rough-winged Swallow"
"Northern Saw-whet Owl","NSWO","boreal_forests",3720,"Northern Saw-whet Owl",TRUE,TRUE,TRUE,"Northern Saw-whet Owl"
"Northern Shoveler","NSHO","marshlands",1420,"Northern Shoveler",TRUE,TRUE,TRUE,"Northern Shoveler"
"Northern Shrike","NSHR","boreal_forests",6210,"Northern Shrike",TRUE,TRUE,TRUE,"Northern Shrike"
"Northern Waterthrush","NOWA","boreal_forests",6750,"Northern Waterthrush",TRUE,TRUE,TRUE,"Northern Waterthrush"
"Northwestern Crow","NOCR","generalists",4880,"Northwestern Crow",TRUE,FALSE,TRUE,"American Crow"
"Nuttall's Woodpecker","NUWO","western_forests",3970,"Nuttall's Woodpecker",TRUE,TRUE,TRUE,"Nuttall's Woodpecker"
"Oak Titmouse","OATI","western_forests",7330,"Oak Titmouse",TRUE,TRUE,TRUE,"Oak Titmouse"
"Olive Sparrow","OLSP","subtropical_forests",5860,"Olive Sparrow",TRUE,TRUE,TRUE,"Olive Sparrow"
"Olive Warbler","OLWA","subtropical_forests",6510,"Olive Warbler",TRUE,TRUE,TRUE,"Olive Warbler"
"Olive-sided Flycatcher","OSFL","boreal_forests",4590,"Olive-sided Flycatcher",TRUE,TRUE,TRUE,"Olive-sided Flycatcher"
"Orange-crowned Warbler","OCWA","western_forests",6460,"Orange-crowned Warbler",TRUE,TRUE,TRUE,"Orange-crowned Warbler"
"Orchard Oriole","OROR","eastern_forests",5060,"Orchard Oriole",TRUE,TRUE,TRUE,"Orchard Oriole"
"Osprey","OSPR","waterbirds",3640,"Osprey",TRUE,TRUE,TRUE,"Osprey"
"Ovenbird","OVEN","eastern_forests",6740,"Ovenbird",TRUE,TRUE,TRUE,"Ovenbird"
"Pacific Golden-Plover","PAGP","waterbirds",2721,"Pacific Golden-Plover",TRUE,TRUE,TRUE,"Pacific Golden-Plover"
"Pacific Loon","PALO","waterbirds",100,"Pacific Loon",TRUE,TRUE,TRUE,"Pacific Loon"
"Pacific Wren","PAWR","western_forests",7221,"Pacific Wren",TRUE,TRUE,TRUE,"Pacific Wren"
"Pacific-slope Flycatcher","PSFL","western_forests",4641,"Pacific-slope Flycatcher",TRUE,FALSE,TRUE,"(Pacific-slope Flycatcher) Western Flycatcher"
"Painted Bunting","PABU","aridlands",6010,"Painted Bunting",TRUE,TRUE,TRUE,"Painted Bunting"
"Painted Redstart","PARE","subtropical_forests",6880,"Painted Redstart",TRUE,TRUE,TRUE,"Painted Redstart"
"Palm Warbler","PAWA","boreal_forests",NA,NA,FALSE,TRUE,TRUE,"Palm Warbler"
"Parasitic Jaeger","PAJA","coastal",370,"Parasitic Jaeger",TRUE,TRUE,TRUE,"Parasitic Jaeger"
"Pectoral Sandpiper","PESA","waterbirds",2390,"Pectoral Sandpiper",TRUE,TRUE,TRUE,"Pectoral Sandpiper"
"Pelagic Cormorant","PECO","coastal",1230,"Pelagic Cormorant",TRUE,TRUE,TRUE,"Pelagic Cormorant"
"Peregrine Falcon","PEFA","generalists",3560,"Peregrine Falcon",TRUE,TRUE,TRUE,"Peregrine Falcon"
"Phainopepla","PHAI","aridlands",6200,"Phainopepla",TRUE,TRUE,TRUE,"Phainopepla"
"Philadelphia Vireo","PHVI","boreal_forests",6260,"Philadelphia Vireo",TRUE,TRUE,TRUE,"Philadelphia Vireo"
"Pied-billed Grebe","PBGR","marshlands",60,"Pied-billed Grebe",TRUE,TRUE,TRUE,"Pied-billed Grebe"
"Pigeon Guillemot","PIGU","coastal",290,"Pigeon Guillemot",TRUE,TRUE,TRUE,"Pigeon Guillemot"
"Pileated Woodpecker","PIWO","eastern_forests",4050,"Pileated Woodpecker",TRUE,TRUE,TRUE,"Pileated Woodpecker"
"Pine Grosbeak","PIGR","boreal_forests",5150,"Pine Grosbeak",TRUE,TRUE,TRUE,"Pine Grosbeak"
"Pine Siskin","PISI","western_forests",5330,"Pine Siskin",TRUE,TRUE,TRUE,"Pine Siskin"
"Pine Warbler","PIWA","eastern_forests",6710,"Pine Warbler",TRUE,TRUE,TRUE,"Pine Warbler"
"Pinyon Jay","PIJA","western_forests",4920,"Pinyon Jay",TRUE,TRUE,TRUE,"Pinyon Jay"
"Piping Plover","PIPL","coastal",2770,"Piping Plover",TRUE,TRUE,TRUE,"Piping Plover"
"Plain Chachalaca","PLCH","subtropical_forests",NA,NA,FALSE,TRUE,TRUE,"Plain Chachalaca"
"Plumbeous Vireo","PLVI","western_forests",6291,"Plumbeous Vireo",TRUE,TRUE,TRUE,"Cassin's Vireo"
"Pomarine Jaeger","POJA","waterbirds",360,"Pomarine Jaeger",TRUE,TRUE,TRUE,"Pomarine Jaeger"
"Prairie Falcon","PRFA","aridlands",3550,"Prairie Falcon",TRUE,TRUE,TRUE,"Prairie Falcon"
"Prairie Warbler","PRAW","eastern_forests",6730,"Prairie Warbler",TRUE,TRUE,TRUE,"Prairie Warbler"
"Prothonotary Warbler","PROW","eastern_forests",6370,"Prothonotary Warbler",TRUE,TRUE,TRUE,"Prothonotary Warbler"
"Purple Finch","PUFI","boreal_forests",5170,"Purple Finch",TRUE,TRUE,TRUE,"Purple Finch"
"Purple Martin","PUMA","generalists",6110,"Purple Martin",TRUE,TRUE,TRUE,"Purple Martin"
"Purple Sandpiper","PUSA","waterbirds",2350,"Purple Sandpiper",TRUE,TRUE,TRUE,"Purple Sandpiper"
"Pygmy Nuthatch","PYNU","western_forests",7300,"Pygmy Nuthatch",TRUE,TRUE,TRUE,"Pygmy Nuthatch"
"Pyrrhuloxia","PYRR","aridlands",5940,"Pyrrhuloxia",TRUE,TRUE,TRUE,"Pyrrhuloxia"
"Razorbill","RAZO","coastal",320,"Razorbill",TRUE,TRUE,TRUE,"Razorbill"
"Red Crossbill","RECR","boreal_forests",5210,"Red Crossbill",TRUE,TRUE,TRUE,"Red Crossbill"
"Red Knot","REKN","waterbirds",2340,"Red Knot",TRUE,TRUE,TRUE,"Red Knot"
"Red Phalarope","REPH","waterbirds",2220,"Red Phalarope",TRUE,TRUE,TRUE,"Red Phalarope"
"Red-bellied Woodpecker","RBWO","eastern_forests",4090,"Red-bellied Woodpecker",TRUE,TRUE,TRUE,"Red-bellied Woodpecker"
"Red-breasted Merganser","RBME","waterbirds",1300,"Red-breasted Merganser",TRUE,TRUE,TRUE,"Red-breasted Merganser"
"Red-breasted Nuthatch","RBNU","boreal_forests",7280,"Red-breasted Nuthatch",TRUE,TRUE,TRUE,"Red-breasted Nuthatch"
"Red-breasted Sapsucker","RBSA","western_forests",4030,"Red-breasted Sapsucker",TRUE,TRUE,TRUE,"Red-breasted Sapsucker"
"Red-cockaded Woodpecker","RCWO","eastern_forests",3950,"Red-cockaded Woodpecker",TRUE,TRUE,TRUE,"Red-cockaded Woodpecker"
"Red-crowned Parrot","RCPA","subtropical_forests",3826,"Red-crowned Parrot",TRUE,TRUE,TRUE,"Red-crowned Parrot"
"Reddish Egret","REEG","coastal",1980,"Reddish Egret",TRUE,TRUE,TRUE,"Reddish Egret"
"Red-eyed Vireo","REVI","eastern_forests",6240,"Red-eyed Vireo",TRUE,TRUE,TRUE,"Red-eyed Vireo"
"Red-faced Cormorant","RFCO","coastal",1207,"Red-faced Cormorant",TRUE,FALSE,TRUE,"unid. west coast cormorant"
"Red-faced Warbler","RFWA","subtropical_forests",6900,"Red-faced Warbler",TRUE,TRUE,TRUE,"Red-faced Warbler"
"Redhead","REDH","marshlands",1460,"Redhead",TRUE,TRUE,TRUE,"Redhead"
"Red-headed Woodpecker","RHWO","eastern_forests",4060,"Red-headed Woodpecker",TRUE,TRUE,TRUE,"Red-headed Woodpecker"
"Red-naped Sapsucker","RNSA","western_forests",4021,"Red-naped Sapsucker",TRUE,TRUE,TRUE,"Red-naped Sapsucker"
"Red-necked Grebe","RNGR","marshlands",20,"Red-necked Grebe",TRUE,TRUE,TRUE,"Red-necked Grebe"
"Red-necked Phalarope","RNPH","waterbirds",2230,"Red-necked Phalarope",TRUE,TRUE,TRUE,"Red-necked Phalarope"
"Red-shouldered Hawk","RSHA","eastern_forests",3390,"Red-shouldered Hawk",TRUE,TRUE,TRUE,"Red-shouldered Hawk"
"Red-tailed Hawk","RTHA","generalists",3370,"Red-tailed Hawk",TRUE,FALSE,TRUE,"Red-tailed Hawk (all forms)"
"Red-throated Loon","RTLO","waterbirds",110,"Red-throated Loon",TRUE,TRUE,TRUE,"Red-throated Loon"
"Red-winged Blackbird","RWBL","generalists",4980,"Red-winged Blackbird",TRUE,TRUE,TRUE,"Red-winged Blackbird"
"Rhinoceros Auklet","RHAU","coastal",150,"Rhinoceros Auklet",TRUE,TRUE,TRUE,"Rhinoceros Auklet"
"Ridgway's Rail","RIRA","marshlands",NA,NA,FALSE,TRUE,TRUE,"Ridgway's Rail"
"Ring-billed Gull","RBGU","waterbirds",540,"Ring-billed Gull",TRUE,TRUE,TRUE,"Ring-billed Gull"
"Ringed Kingfisher","RIKI","waterbirds",3901,"Ringed Kingfisher",TRUE,TRUE,TRUE,"Ringed Kingfisher"
"Ring-necked Duck","RNDU","waterbirds",1500,"Ring-necked Duck",TRUE,TRUE,TRUE,"Ring-necked Duck"
"Ring-necked Pheasant","RNEP","grasslands",NA,NA,FALSE,TRUE,TRUE,"Ring-necked Pheasant"
"Rock Pigeon","ROPI","urban_suburban",NA,NA,FALSE,TRUE,TRUE,"Rock Pigeon"
"Rock Ptarmigan","ROPT","arctic",NA,NA,FALSE,TRUE,TRUE,"Rock Ptarmigan"
"Rock Sandpiper","ROSA","coastal",2360,"Rock Sandpiper",FALSE,TRUE,TRUE,"Rock Sandpiper"
"Rock Sandpiper","ROSA","waterbirds",2360,"Rock Sandpiper",FALSE,TRUE,TRUE,"Rock Sandpiper"
"Rock Wren","ROWR","aridlands",7150,"Rock Wren",TRUE,TRUE,TRUE,"Rock Wren"
"Roseate Spoonbill","ROSP","coastal",1830,"Roseate Spoonbill",TRUE,TRUE,TRUE,"Roseate Spoonbill"
"Rose-breasted Grosbeak","RBGR","eastern_forests",5950,"Rose-breasted Grosbeak",TRUE,TRUE,TRUE,"Rose-breasted Grosbeak"
