Common.Name,Code,Group
Clark's Nutcracker,CLNU,western_forests
Clay-colored Sparrow,CCSP,grasslands
Cliff Swallow,CLSW,generalists
Common Eider,COEI,coastal
Common Gallinule,COGA,marshlands
Common Goldeneye,COGO,waterbirds
Common Grackle,COGR,eastern_forests
Common Ground-Dove,COGD,aridlands
Common Loon,COLO,waterbirds
Common Merganser,COME,waterbirds
Common Murre,COMU,coastal
Common Myna,COMY,urban_suburban
Common Nighthawk,CONI,generalists
Common Pauraque,COPA,subtropical_forests
Common Poorwill,COPO,aridlands
Common Raven,CORA,generalists
Common Redpoll,CORE,arctic
Common Tern,COTE,waterbirds
Common Yellowthroat,COYE,generalists
Connecticut Warbler,CONW,boreal_forests
Cooper's Hawk,COHA,generalists
Cordilleran Flycatcher,COFL,western_forests
Costa's Hummingbird,COHU,aridlands
Couch's Kingbird,COKI,subtropical_forests
Crested Caracara,CRCA,aridlands
Crissal Thrasher,CRTH,aridlands
Curve-billed Thrasher,CBTH,aridlands
Dark-eyed Junco,DEJU,western_forests
Dickcissel,DICK,grasslands
Double-crested Cormorant,DCCO,waterbirds
Dovekie,DOVE,coastal
Downy Woodpecker,DOWO,generalists
Dunlin,DUNL,waterbirds
Dusky Flycatcher,DUFL,western_forests
Dusky Grouse,DUGR,western_forests
Dusky-capped Flycatcher,DCFL,western_forests
Eared Grebe,EAGR,marshlands
Eastern Bluebird,EABL,eastern_forests
Eastern Kingbird,EAKI,grasslands
Eastern Meadowlark,EAME,grasslands
Eastern Phoebe,EAPH,eastern_forests
Eastern Screech-Owl,EASO,eastern_forests
Eastern Towhee,EATO,eastern_forests
Eastern Whip-poor-will,EWPW,eastern_forests
Eastern Wood-Pewee,EAWP,eastern_forests
Emperor Goose,EMGO,waterbirds
Eurasian Collared-Dove,EUCD,urban_suburban
Eurasian Tree Sparrow,ETSP,urban_suburban
Eurasian Wigeon,EUWI,marshlands
European Starling,EUST,generalists
Evening Grosbeak,EVGR,boreal_forests
Ferruginous Hawk,FEHA,grasslands
Ferruginous Pygmy-Owl,FEPO,aridlands
Field Sparrow,FISP,eastern_forests
Fish Crow,FICR,generalists
Florida Scrub-Jay,FLSJ,subtropical_forests
Forster's Tern,FOTE,marshlands
Fox Sparrow,FOSP,boreal_forests
Franklin's Gull,FRGU,marshlands
Fulvous Whistling-Duck,FUWD,marshlands
Gadwall,GADW,marshlands
Gambel's Quail,GAQU,aridlands
Gila Woodpecker,GIWO,aridlands
Gilded Flicker,GIFL,aridlands
Glaucous Gull,GLGU,waterbirds
Glaucous-winged Gull,GWGU,coastal
Glossy Ibis,GLIB,marshlands
Golden Eagle,GOEA,generalists
Golden-cheeked Warbler,GCWA,subtropical_forests
Golden-crowned Kinglet,GCKI,boreal_forests
Golden-crowned Sparrow,GCSP,boreal_forests
Golden-fronted Woodpecker,GFWO,subtropical_forests
Golden-winged Warbler,GWWA,eastern_forests
Grace's Warbler,GRWA,western_forests
Grasshopper Sparrow,GRSP,grasslands
Gray Catbird,GRCA,eastern_forests
Gray Flycatcher,GRFL,aridlands
Gray Hawk,GRHA,western_forests
Gray Kingbird,GRAK,subtropical_forests
Gray Partridge,GRAP,grasslands
Gray Vireo,GRVI,aridlands
Gray-cheeked Thrush,GCTH,boreal_forests
Gray-crowned Rosy-Finch,GCRF,arctic
Great Black-backed Gull,GBBG,coastal
Great Blue Heron,GBHE,waterbirds
Great Cormorant,GRCO,coastal
Great Crested Flycatcher,GCFL,eastern_forests
Great Egret,GREG,waterbirds
Great Gray Owl,GGOW,boreal_forests
Great Horned Owl,GHOW,generalists
Great Kiskadee,GKIS,subtropical_forests
Greater Prairie-Chicken,GRPC,grasslands
Greater Roadrunner,GRRO,aridlands
Greater Sage-Grouse,GRSG,aridlands
Greater Scaup,GRSC,waterbirds
Greater White-fronted Goose,GWFG,waterbirds
Greater Yellowlegs,GRYE,waterbirds
Great-tailed Grackle,GTGR,generalists
Green Heron,GRHE,marshlands
Green Jay,GRJA,subtropical_forests
Green Kingfisher,GKIN,waterbirds
Green-tailed Towhee,GTTO,aridlands
Green-winged Teal,GWTE,marshlands
Groove-billed Ani,GBAN,subtropical_forests
Gull-billed Tern,GBTE,coastal
Gyrfalcon,GYRF,arctic
Hairy Woodpecker,HAWO,generalists
Hammond's Flycatcher,HAFL,western_forests
Harlequin Duck,HADU,waterbirds
Harris's Hawk,HASH,aridlands
Harris's Sparrow,HASP,boreal_forests
Heermann's Gull,HEEG,coastal
Henslow's Sparrow,HESP,grasslands
Hepatic Tanager,HETA,western_forests
Hermit Thrush,HETH,western_forests
Hermit Warbler,HEWA,western_forests
Herring Gull,HERG,waterbirds
Hoary Redpoll,HORE,arctic
Hooded Merganser,HOME,waterbirds
Hooded Oriole,HOOR,western_forests
Hooded Warbler,HOWA,eastern_forests
Hook-billed Kite,HBKI,subtropical_forests
Horned Grebe,HOGR,marshlands
Horned Lark,HOLA,grasslands
House Finch,HOFI,generalists
House Sparrow,HOSP,urban_suburban
House Wren,HOWR,generalists
Hudsonian Godwit,HUGO,waterbirds
Hutton's Vireo,HUVI,western_forests
Iceland Gull,ICGU,coastal
Inca Dove,INDO,aridlands
Indigo Bunting,INBU,eastern_forests
Juniper Titmouse,JUTI,western_forests
Kentucky Warbler,KEWA,eastern_forests
Killdeer,KILL,waterbirds
King Eider,KIEI,waterbirds
King Rail,KIRA,marshlands
Kittlitz's Murrelet,KIMU,coastal
Ladder-backed Woodpecker,LBWO,aridlands
Lapland Longspur,LALO,arctic
Lark Bunting,LARB,grasslands
Lark Sparrow,LASP,aridlands
Laughing Gull,LAGU,coastal
Lawrence's Goldfinch,LAGO,aridlands
Lazuli Bunting,LAZB,western_forests
Le Conte's Sparrow,LCSP,grasslands
Le Conte's Thrasher,LCTH,aridlands
Least Bittern,LEBI,marshlands
Least Flycatcher,LEFL,boreal_forests
Least Grebe,LEGR,marshlands
Least Sandpiper,LESA,waterbirds
Least Tern,LETE,waterbirds
Lesser Black-backed Gull,LBBG,coastal
Lesser Goldfinch,LEGO,western_forests
Lesser Nighthawk,LENI,aridlands
Lesser Prairie-Chicken,LEPC,grasslands
Lesser Scaup,LESC,waterbirds
Lesser Yellowlegs,LEYE,waterbirds
Lewis's Woodpecker,LEWO,western_forests
Limpkin,LIMP,marshlands
Lincoln's Sparrow,LISP,boreal_forests
Little Blue Heron,LBHE,marshlands
Little Gull,LIGU,coastal
Little Gull,LIGU,waterbirds
Loggerhead Shrike,LOSH,grasslands
Long-billed Curlew,LBCU,grasslands
Long-billed Dowitcher,LBDO,waterbirds
Long-billed Thrasher,LBTH,subtropical_forests
Long-eared Owl,LEOW,western_forests
Long-tailed Duck,LTDU,waterbirds
Long-tailed Jaeger,LTJA,waterbirds
Louisiana Waterthrush,LOWA,eastern_forests
Lucy's Warbler,LUWA,aridlands
MacGillivray's Warbler,MGWA,western_forests
Magnificent Frigatebird,MAFR,coastal
Magnolia Warbler,MAWA,boreal_forests
Mallard,MALL,waterbirds
Mangrove Cuckoo,MACU,coastal
Marbled Godwit,MAGO,marshlands
Marbled Murrelet,MAMU,coastal
Marsh Wren,MAWR,marshlands
McCown's Longspur,MCLO,grasslands
Merlin,MERL,eastern_forests
Mew Gull,MEGU,coastal
Mew Gull,MEGU,waterbirds
Mexican Jay,MEJA,subtropical_forests
Mississippi Kite,MIKI,eastern_forests
Monk Parakeet,MOPA,urban_suburban
Montezuma Quail,MONQ,subtropical_forests
Mottled Duck,MODU,marshlands
Mountain Bluebird,MOBL,western_forests
Mountain Chickadee,MOCH,western_forests
Mountain Plover,MOPL,grasslands
