"CountryNum","StateNum","Route","RouteName","Active","Latitude","Longitude","Stratum","BCR","RouteTypeID","RouteTypeDetailID","year","grassland"
840,2,56,"CHILDERSBURG",0,33.4572917,-86.2574629,13,28,1,1,2010,0.0356935014548982
840,2,57,"YOUNGTOWN",1,34.4236313,-87.3907904,13,28,1,1,2010,0.007257002493719
840,2,58,"MENTONE",1,34.5810567,-85.565583,13,28,1,1,2010,0.0220084548356483
840,2,59,"CARROLLTON",1,33.2811827,-88.0092154,4,27,1,1,2010,0.0451725161185897
840,2,60,"HOLT",1,33.2638251,-87.4241383,4,27,1,1,2010,0.126890168433514
840,2,61,"ODENVILLE",1,33.718519,-86.4457647,13,28,1,1,2010,0.0116058116759728
840,2,62,"BORDEN SPRNG",0,33.9282957,-85.4680639,11,28,1,1,2010,0.0446978386022739
840,2,63,"ROCK CHAPEL",1,32.4128107,-87.5381089,4,27,1,1,2010,0.0281039336247129
840,2,64,"NIXBURG",0,32.8224147,-86.1118009,11,29,1,1,2010,0.0588453703424953
840,2,65,"CALEBEE",1,32.4341515,-85.8711729,4,27,1,1,2010,0.0136894790392699
840,2,66,"APPLETON",1,31.2283931,-87.0654001,4,27,1,1,2010,0.156370054105126
840,2,67,"MT. GILEAD",1,31.4086552,-86.270046,4,27,1,1,2010,0.0439854129128482
840,2,68,"MADRID",1,31.0322875,-85.4115544,4,27,1,1,2010,0.0125295078990376
840,2,69,"GEORGETOWN",1,30.9422777,-88.3523559,4,27,1,1,2010,0.0537301072140027
840,2,70,"BON SECOUR",1,30.3038647,-87.7299991,3,27,1,1,2010,0.00646949034156619
840,2,71,"WHEELER DAM",1,34.7961251,-87.3837235,14,24,1,1,2010,0.00036449790413705
840,2,72,"ELKMONT",1,34.9292307,-86.9887629,14,24,1,1,2010,0.00015433119474392
840,2,73,"WOODVILLE",1,34.9895137,-86.0671689,21,28,1,1,2010,0.0152235965746908
840,2,74,"Perdido",1,30.978291,-87.631069,3,27,1,1,2010,NA
840,2,102,"COURTLAND",1,34.6030578,-87.2543912,14,24,1,1,2010,0.0142707385576961
840,2,105,"BROOKSVILLE",1,34.2126918,-86.4734413,13,28,1,1,2010,0.0162122795351635
840,2,106,"VALHERMOSO SPG 2",0,34.5012877,-86.6855493,14,24,1,1,2010,0.00483780760626398
840,2,109,"LAKEVIEW",1,34.3086241,-85.9323092,13,28,1,1,2010,0.008849281126045
840,2,111,"CHOCCOLOCCO",1,33.628703,-85.748317,13,28,1,1,2010,0.043477778763417
840,2,137,"LATHAM 2",1,31.0706664,-87.8350582,4,27,1,1,2010,0.0846016702636765
840,2,140,"DAUPHIN IS 2",0,30.248466,-88.1123348,3,27,1,1,2010,0.00764734068040249
840,2,141,"ALABAMA PT 2",0,30.2816323,-87.5183917,3,27,1,1,2010,0.0075225126290358
840,2,142,"ELBERTA",1,30.370222,-87.6024375,3,27,1,1,2010,0.0478880022767324
840,2,151,"Liberty City 2",1,32.580056,-85.692643,11,29,1,1,2010,NA
840,2,156,"KYMULGA",1,33.2905307,-86.3312989,13,28,1,1,2010,0.0421707055883869
840,2,162,"Borden Springs 2",1,33.9413322,-85.450491,11,28,1,1,2010,0.0116848418131572
840,2,164,"NIXBURG 2",1,32.822371,-86.1117753,11,29,1,1,2010,0.0540987522740219
840,2,201,"VINA",1,34.2884067,-88.0675579,4,27,1,1,2010,0.0918414763674987
840,2,203,"CARTER GROVE",1,34.8223669,-86.6604516,14,24,1,1,2010,0.00246801786205733
840,2,204,"STEVENSON",1,34.7575557,-85.8594579,13,28,1,1,2010,0.00909577844786542
840,2,205,"VERNON",1,33.6853138,-88.1671198,4,27,1,1,2010,0.0259111870365067
840,2,206,"JASPER",0,33.817334,-87.137715,13,28,1,1,2010,0.023668693148055
840,2,207,"ONEONTA",1,33.8564625,-86.3813006,13,28,1,1,2010,0.00976074977629162
840,2,208,"TALLADEGA",1,33.3180161,-86.1573541,13,28,1,1,2010,0.0187668608515463
840,2,209,"WEDOWEE",1,33.1844368,-85.464604,11,29,1,1,2010,0.0400466315108792
840,2,210,"GASTONBURG",1,32.1930088,-87.3792753,4,27,1,1,2010,0.0303161541792984
840,2,211,"AUTAUGAVILLE",1,32.4860839,-86.5697685,4,27,1,1,2010,0.0351792644427017
840,2,212,"SEALE",1,32.5033347,-85.2532189,4,27,1,1,2010,0.0483866590680887
840,2,213,"CITRONELLE",1,31.1365731,-88.2207774,4,27,1,1,2010,0.0639142647676631
840,2,214,"CLAIBORNE",1,31.7459607,-87.6361759,4,27,1,1,2010,0.0490502553333651
840,2,215,"HELICON",1,31.9052647,-86.1853409,4,27,1,1,2010,0.0465366431782756
840,2,216,"EUFAULA",1,31.7296264,-85.2558091,4,27,1,1,2010,0.0774367427478252
840,2,217,"ST. ELMO",1,30.4866365,-88.3854517,3,27,1,1,2010,0.00621339596277908
840,2,218,"BAY MINETTE",1,30.803493,-87.6374375,3,27,1,1,2010,0.0538470372071658
840,2,240,"DAUPHIN IS 3",0,30.25085,-88.16328,3,27,1,1,2010,NA
840,2,306,"DRUMMOND",1,33.8163386,-87.1416542,13,28,1,1,2010,0.0262917769984971
840,2,750,"TRIANA",0,34.4761164,-86.4676524,14,24,2,2,2010,0.00511776420457706
840,2,751,"RIVERSIDE",0,33.5919601,-86.2041575,13,28,2,2,2010,0.018426546533348
840,2,752,"SPROTT-CAHABA RIV",0,32.655013,-87.247487,4,27,2,2,2010,0.0173950484391819
840,2,753,"GAINESTOWN FERRY",0,31.3769106,-87.723299,4,27,2,2,2010,0.0126099803380969
840,2,754,"Chacaloochee Bay",0,30.688444,-87.969378,4,27,2,2,2010,0.00019605617525358
840,2,900,"ELKMONT",0,34.95,-87.15,14,24,1,2,2010,0.00015433119474392
840,2,901,"TRACE CHEROKEE",0,34.667434,-88.088255,4,27,1,2,2010,NA
840,6,1,"MT TRUMBULL",0,36.4118157,-113.3253169,87,16,1,1,2010,0
840,6,2,"HOUSE ROCK",1,36.7313947,-112.0460509,87,16,1,1,2010,0.00577730006821141
840,6,3,"THE GAP",0,36.1623537,-111.3865819,87,16,1,1,2010,0.00633162300225401
840,6,4,"BLACK MESA",1,36.5612867,-110.5019459,84,16,1,1,2010,0
840,6,5,"ROUND ROCK",0,36.5089267,-109.4726859,84,16,1,1,2010,0
840,6,6,"SQUAW PEAK",0,35.8986777,-114.2909089,83,33,1,1,2010,0.00023897868058612
840,6,7,"YAMPAI",0,35.5156177,-113.2016679,87,16,1,1,2010,0
840,6,8,"ROSE WELLS",0,35.7549067,-112.8721919,87,16,1,1,2010,0
840,6,9,"FLAGSTAFF",1,35.379241,-111.589527,84,34,1,1,2010,0.0503973351826378
840,6,10,"ORAIBI",1,35.8687197,-110.6230399,87,16,1,1,2010,0.010179480310742
840,6,11,"SAWMILL",1,35.678979,-109.2046208,84,16,1,1,2010,0
840,6,12,"OATMAN",1,34.9859877,-114.4831159,83,33,1,1,2010,0.00015019004817634
840,6,13,"WIKIEUP",1,34.7270747,-113.9188229,82,33,1,1,2010,0
840,6,14,"PRESCOTT",1,34.643638,-112.43804,84,34,1,1,2010,0.0210842326104343
840,6,15,"MORMON LAKE",0,34.8492047,-111.4342499,84,34,1,1,2010,0.00137869470343186
840,6,16,"ZENIFF",0,34.666085,-110.324299,87,16,1,1,2010,0
840,6,17,"HUNT",1,34.4781336,-109.6046705,87,16,1,1,2010,0.00088684232966658
840,6,18,"QUARTZSITE",1,33.651725,-114.217139,82,33,1,1,2010,0
840,6,19,"VICKSBURG",0,33.8839297,-113.8530119,82,33,1,1,2010,0.00251932374918256
840,6,20,"NEW RIVER",0,33.7034749,-112.2723363,82,33,1,1,2010,0.00138849371194446
840,6,21,"FLORENCE",0,33.0219797,-111.2169189,82,33,1,1,2010,0.0222965191041138
840,6,22,"AZTEC PEAK",0,33.811655,-110.904189,81,34,1,1,2010,0.00021198916499823
840,6,23,"BLUE",0,33.610135,-109.10624,84,34,1,1,2010,0.00064233081248788
840,6,24,"LAGUNA",1,32.8332815,-114.3988546,82,33,1,1,2010,0
840,6,25,"DATELAND",1,32.9285617,-113.5413359,82,33,1,1,2010,6.23862750194957e-05
840,6,26,"AJO",0,32.3325717,-112.7874759,82,33,1,1,2010,0.107301769566733
840,6,27,"COOLIDGE",0,33.0156287,-111.3839189,82,33,1,1,2010,0.00999427590154551
840,6,28,"POMERENE",1,32.0343407,-110.3031159,81,34,1,1,2010,0
840,6,29,"SAN SIMON",1,32.4996877,-109.3368449,56,34,1,1,2010,0.0027977912174599
840,6,30,"LUKEVILLE",0,32.0266567,-112.9573589,82,33,1,1,2010,0
840,6,31,"PEÑA BLANCA",1,31.387449,-111.064564,81,34,1,1,2010,0.00246668375192209
840,6,32,"PATAGONIA",1,31.5175977,-110.7949529,81,34,1,1,2010,0.155921763782097
840,6,33,"SUNIZONA",0,31.8181957,-109.6948089,81,34,1,1,2010,0.00966335858778004
840,6,51,"TOROWEAP",1,36.2863797,-113.0649869,87,16,1,1,2010,1.51908733233074e-05
840,6,52,"DRY PARK",1,36.3131479,-112.0319722,84,16,1,1,2010,0.0167872499291949
840,6,53,"PAGE",1,36.9132282,-111.4526999,87,16,1,1,2010,0
840,6,54,"COW SPRINGS",1,36.3915637,-110.8794319,87,16,1,1,2010,0
840,6,55,"MANY FARMS",1,36.3599237,-109.6437909,87,16,1,1,2010,0
840,6,56,"RIVIERA",1,35.113694,-114.57123,82,33,1,1,2010,0
840,6,57,"ANTARES",1,35.4272901,-113.8087941,87,33,1,1,2010,0.00203566356320025
840,6,58,"WILLIAMS",1,35.0556327,-112.2188339,84,34,1,1,2010,4.77049164686913e-05
840,6,59,"MAINE",1,35.1634107,-111.9475859,84,34,1,1,2010,0.0343819095477387
840,6,60,"CASTLE BUTTE",1,35.2779817,-110.3798989,87,16,1,1,2010,1.04699982201003e-05
840,6,61,"GREASEWOOD",0,35.5302347,-109.8516089,87,16,1,1,2010,0.00077578694552487
840,6,63,"ALAMO RES.",1,34.2318174,-113.5975476,82,33,1,1,2010,0
840,6,64,"SKULL VALLEY",0,34.7733727,-112.6192267,87,34,1,1,2010,0.0282738095238095
840,6,65,"TONTO VILL.",1,34.3566847,-111.1008299,84,34,1,1,2010,0
840,6,66,"FOREST LAKES",1,34.694845,-110.777909,84,34,1,1,2010,0.0371734666034782
840,6,67,"PINETOP",1,34.1153987,-109.9154509,84,34,1,1,2010,0
840,6,68,"CIBOLA LAKE",1,33.24469,-114.66142,82,33,1,1,2010,0
840,6,69,"GILA BEND",1,33.2869987,-112.9375459,82,33,1,1,2010,0.00165289256198347
840,6,70,"PALO VERDE",0,33.3339864,-112.677217,82,33,1,1,2010,0.00030092926958447
840,6,71,"BARTLETT RES",1,33.8177037,-111.6398389,82,34,1,1,2010,0.0154891304347826
840,6,72,"CUTTER",0,33.1754789,-110.5290913,82,34,1,1,2010,0
840,6,73,"ALPINE",1,33.866935,-109.1652,84,34,1,1,2010,0.0284926044419715
840,6,74,"ARABY",1,32.8548017,-114.4452209,82,33,1,1,2010,3.30778072721559e-05
840,6,76,"PISINIMO",0,32.1764407,-112.2624969,82,33,1,1,2010,0.0232968478976015
840,6,77,"RED ROCK",0,32.57312,-111.3291239,82,33,1,1,2010,0.00209627253492975
840,6,78,"REDINGTON",1,32.5434377,-110.5053099,81,34,1,1,2010,1.25103210148372e-05
840,6,79,"MT. GRAHAM",1,32.6498267,-109.8181145,81,34,1,1,2010,0.0440704223079282
840,6,80,"CABEZA PRIET",1,32.4009815,-112.9321083,82,33,1,1,2010,0.0237403154323103
840,6,81,"AMADO",1,31.7120327,-111.0671459,81,34,1,1,2010,0.00020479812755997
840,6,82,"SAHUARITA",1,31.9576267,-110.9446259,81,34,1,1,2010,0.0153778145633077
840,6,83,"MCNEAL",1,31.6464055,-109.4732045,56,34,1,1,2010,0.00313804840825495
840,6,84,"Wickenburg",1,33.962204,-112.77163,82,33,1,1,2010,NA
840,6,101,"NAVAJO TRAIL",1,36.6901017,-113.4587859,87,16,1,1,2010,5.00346072700284e-05
840,6,103,"KAIBITO",1,36.6095467,-111.0768659,87,16,1,1,2010,0
840,6,105,"TSAILE",1,36.3019687,-109.1965869,84,16,1,1,2010,0
840,6,106,"WILLOW BEACH",0,35.8663787,-114.6619869,83,33,1,1,2010,0.00214556513769112
840,6,107,"PEACH SPRING",1,35.5541565,-113.3760172,87,16,1,1,2010,6.33425883893036e-05
